"Date","Country","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-04-01","Germany","Mecklenburg-Western Pomerania",406,40.0,25.0,3
"2020-04-01","Germany","Lower Saxony",4382,319.0,55.0,42
"2020-04-01","Germany","North Rhine-Westphalia",14351,1126.0,80.0,134
"2020-04-01","Germany","Rhineland-Palatinate",2899,173.0,71.0,23
"2020-04-01","Germany","Saarland",829,47.0,84.0,8
"2020-04-01","Germany","Saxony",2034,152.0,50.0,17
"2020-04-01","Germany","Saxony-Anhalt",750,70.0,34.0,7
"2020-04-01","Germany","Schleswig-Holstein",1246,126.0,43.0,10
"2020-04-01","Germany","Thuringia",860,76.0,40.0,6
"2020-04-02","Germany","Baden-Württemberg",14662,1252.0,132.0,241
"2020-04-02","Germany","Bavaria",18496,1999.0,141.0,268
"2020-04-02","Germany","Berlin",2970,216.0,79.0,19
"2020-04-02","Germany","Brandenburg",995,114.0,40.0,7
"2020-04-02","Germany","Bremen",327,16.0,48.0,6
"2020-04-02","Germany","Hamburg",2406,95.0,131.0,14
"2020-04-02","Germany","Hesse",3707,262.0,59.0,27
"2020-04-02","Germany","Mecklenburg-Western Pomerania",438,32.0,27.0,3
"2020-04-02","Germany","Lower Saxony",4695,313.0,59.0,45
"2020-04-02","Germany","North Rhine-Westphalia",15427,1076.0,86.0,161
"2020-04-02","Germany","Rhineland-Palatinate",3132,233.0,77.0,26
"2020-04-02","Germany","Saarland",1020,191.0,103.0,11
"2020-04-02","Germany","Saxony",2183,149.0,54.0,18
"2020-04-02","Germany","Saxony-Anhalt",804,54.0,36.0,8
"2020-04-02","Germany","Schleswig-Holstein",1335,89.0,46.0,11
"2020-04-02","Germany","Thuringia",925,65.0,43.0,7
"2020-04-03","Germany","Baden-Württemberg",16059,1397.0,145.0,285
"2020-04-03","Germany","Bavaria",20237,1741.0,155.0,307
"2020-04-03","Germany","Berlin",3202,232.0,85.0,20
"2020-04-03","Germany","Brandenburg",1075,80.0,43.0,9
"2020-04-03","Germany","Bremen",341,14.0,50.0,6
"2020-04-03","Germany","Hamburg",2596,190.0,141.0,16
"2020-04-03","Germany","Hesse",3993,286.0,64.0,33
"2020-04-03","Germany","Mecklenburg-Western Pomerania",468,30.0,29.0,4
"2020-04-03","Germany","Lower Saxony",5081,386.0,64.0,65
"2020-04-03","Germany","North Rhine-Westphalia",16606,1179.0,93.0,178
"2020-04-03","Germany","Rhineland-Palatinate",3362,230.0,82.0,26
"2020-04-03","Germany","Saarland",1079,59.0,109.0,12
"2020-04-03","Germany","Saxony",2336,153.0,57.0,21
"2020-04-03","Germany","Saxony-Anhalt",836,32.0,38.0,11
"2020-04-03","Germany","Schleswig-Holstein",1443,108.0,50.0,15
"2020-04-03","Germany","Thuringia",982,57.0,46.0,9
"2020-04-04","Germany","Baden-Württemberg",17014,955.0,154.0,316
"2020-04-04","Germany","Bavaria",21908,1671.0,168.0,349
"2020-04-04","Germany","Berlin",3471,269.0,93.0,22
"2020-04-04","Germany","Brandenburg",1211,136.0,48.0,12
"2020-04-04","Germany","Bremen",354,13.0,52.0,6
"2020-04-04","Germany","Hamburg",2697,101.0,146.0,16
"2020-04-04","Germany","Hesse",4279,286.0,68.0,42
"2020-04-04","Germany","Mecklenburg-Western Pomerania",501,33.0,31.0,5
"2020-04-04","Germany","Lower Saxony",5571,490.0,70.0,85
"2020-04-04","Germany","North Rhine-Westphalia",17885,1279.0,100.0,200
"2020-04-04","Germany","Rhineland-Palatinate",3504,142.0,86.0,29
"2020-04-04","Germany","Saarland",1265,186.0,128.0,14
"2020-04-04","Germany","Saxony",2591,255.0,64.0,24
"2020-04-04","Germany","Saxony-Anhalt",896,60.0,41.0,11
"2020-04-04","Germany","Schleswig-Holstein",1559,116.0,54.0,17
"2020-04-04","Germany","Thuringia",1072,90.0,50.0,10
"2020-04-05","Germany","Baden-Württemberg",18614,1600.0,168.0,367
"2020-04-05","Germany","Bavaria",23846,1938.0,182.0,396
"2020-04-05","Germany","Berlin",3613,142.0,96.0,24
"2020-04-05","Germany","Brandenburg",1305,94.0,52.0,17
"2020-04-05","Germany","Bremen",394,40.0,58.0,6
"2020-04-05","Germany","Hamburg",2945,248.0,160.0,19
"2020-04-05","Germany","Hesse",4575,296.0,73.0,56
"2020-04-05","Germany","Mecklenburg-Western Pomerania",523,22.0,32.0,5
"2020-04-05","Germany","Lower Saxony",5712,141.0,72.0,89
"2020-04-05","Germany","North Rhine-Westphalia",18735,850.0,104.0,245
"2020-04-05","Germany","Rhineland-Palatinate",3663,159.0,90.0,32
"2020-04-05","Germany","Saarland",1358,93.0,137.0,14
"2020-04-05","Germany","Saxony",2741,150.0,67.0,32
"2020-04-05","Germany","Saxony-Anhalt",919,23.0,42.0,12
"2020-04-05","Germany","Schleswig-Holstein",1631,72.0,56.0,18
"2020-04-05","Germany","Thuringia",1140,68.0,53.0,10
"2020-04-06","Germany","Baden-Württemberg",19395,781.0,175.0,387
"2020-04-06","Germany","Bavaria",24974,1128.0,191.0,437
"2020-04-06","Germany","Berlin",3670,57.0,98.0,26
"2020-04-06","Germany","Brandenburg",1345,40.0,54.0,19
"2020-04-06","Germany","Bremen",397,3.0,58.0,8
"2020-04-06","Germany","Hamburg",2993,48.0,163.0,19
"2020-04-06","Germany","Hesse",4674,99.0,75.0,61
"2020-04-06","Germany","Mecklenburg-Western Pomerania",528,5.0,33.0,6
"2020-04-06","Germany","Lower Saxony",5960,248.0,75.0,92
"2020-04-06","Germany","North Rhine-Westphalia",19384,649.0,108.0,255
"2020-04-06","Germany","Rhineland-Palatinate",3882,219.0,95.0,32
"2020-04-06","Germany","Saarland",1483,125.0,150.0,14
"2020-04-06","Germany","Saxony",2903,162.0,71.0,34
"2020-04-06","Germany","Saxony-Anhalt",956,37.0,43.0,12
"2020-04-06","Germany","Schleswig-Holstein",1671,40.0,58.0,20
"2020-04-06","Germany","Thuringia",1176,36.0,55.0,12
"2020-04-07","Germany","Baden-Württemberg",20141,746.0,182.0,433
"2020-04-07","Germany","Bavaria",26163,1189.0,200.0,481
"2020-04-07","Germany","Berlin",3845,175.0,103.0,28
"2020-04-07","Germany","Brandenburg",1384,39.0,55.0,20
"2020-04-07","Germany","Bremen",399,2.0,58.0,9
"2020-04-07","Germany","Hamburg",3059,66.0,166.0,20
"2020-04-07","Germany","Hesse",4837,163.0,77.0,73
"2020-04-07","Germany","Mecklenburg-Western Pomerania",531,3.0,33.0,8
"2020-04-07","Germany","Lower Saxony",6200,240.0,78.0,111
"2020-04-07","Germany","North Rhine-Westphalia",20220,836.0,113.0,282
"2020-04-07","Germany","Rhineland-Palatinate",3992,110.0,98.0,34
"2020-04-07","Germany","Saarland",1532,49.0,155.0,16
"2020-04-07","Germany","Saxony",2997,94.0,73.0,38
"2020-04-07","Germany","Saxony-Anhalt",987,31.0,45.0,12
"2020-04-07","Germany","Schleswig-Holstein",1730,59.0,60.0,24
"2020-04-07","Germany","Thuringia",1208,32.0,56.0,18
"2020-04-08","Germany","Baden-Württemberg",20680,539.0,187.0,464
"2020-04-08","Germany","Bavaria",27564,1401.0,211.0,564
"2020-04-08","Germany","Berlin",4028,183.0,107.0,32
"2020-04-08","Germany","Brandenburg",1472,88.0,59.0,22
"2020-04-08","Germany","Bremen",424,25.0,62.0,10
"2020-04-08","Germany","Hamburg",3165,106.0,172.0,23
"2020-04-08","Germany","Hesse",4965,128.0,79.0,84
"2020-04-08","Germany","Mecklenburg-Western Pomerania",555,24.0,34.0,11
"2020-04-08","Germany","Lower Saxony",6385,185.0,80.0,121
"2020-04-08","Germany","North Rhine-Westphalia",20929,709.0,117.0,348
"2020-04-08","Germany","Rhineland-Palatinate",4148,156.0,102.0,45
"2020-04-08","Germany","Saarland",1637,105.0,165.0,23
"2020-04-08","Germany","Saxony",3144,147.0,77.0,50
"2020-04-08","Germany","Saxony-Anhalt",1020,33.0,46.0,16
"2020-04-08","Germany","Schleswig-Holstein",1827,97.0,63.0,28
"2020-04-08","Germany","Thuringia",1285,77.0,60.0,20
"2020-04-09","Germany","Baden-Württemberg",21603,923.0,195.0,519
"2020-04-09","Germany","Bavaria",28827,1263.0,220.0,635
"2020-04-09","Germany","Berlin",4202,174.0,112.0,37
"2020-04-09","Germany","Brandenburg",1578,106.0,63.0,30
"2020-04-09","Germany","Bremen",445,21.0,65.0,11
"2020-04-09","Germany","Hamburg",3320,155.0,180.0,44
"2020-04-09","Germany","Hesse",5242,277.0,84.0,100
"2020-04-09","Germany","Mecklenburg-Western Pomerania",572,17.0,36.0,11
"2020-04-09","Germany","Lower Saxony",6804,419.0,85.0,141
"2020-04-09","Germany","North Rhine-Westphalia",21961,1032.0,122.0,384
"2020-04-09","Germany","Rhineland-Palatinate",4336,188.0,106.0,50
"2020-04-09","Germany","Saarland",1693,56.0,171.0,23
"2020-04-09","Germany","Saxony",3261,117.0,80.0,52
"2020-04-09","Germany","Saxony-Anhalt",1075,55.0,49.0,16
"2020-04-09","Germany","Schleswig-Holstein",1932,105.0,67.0,34
"2020-04-09","Germany","Thuringia",1351,66.0,63.0,20
"2020-04-10","Germany","Baden-Württemberg",22433,830.0,203.0,570
"2020-04-10","Germany","Bavaria",30363,1536.0,232.0,703
"2020-04-10","Germany","Berlin",4349,147.0,116.0,42
"2020-04-10","Germany","Brandenburg",1691,113.0,67.0,37
"2020-04-10","Germany","Bremen",454,9.0,66.0,13
"2020-04-10","Germany","Hamburg",3551,231.0,193.0,53
"2020-04-10","Germany","Hesse",5694,452.0,91.0,111
"2020-04-10","Germany","Mecklenburg-Western Pomerania",586,14.0,36.0,11
"2020-04-10","Germany","Lower Saxony",7114,310.0,89.0,161
"2020-04-10","Germany","North Rhine-Westphalia",23028,1067.0,128.0,446
"2020-04-10","Germany","Rhineland-Palatinate",4440,104.0,109.0,51
"2020-04-10","Germany","Saarland",1854,161.0,187.0,36
"2020-04-10","Germany","Saxony",3402,141.0,83.0,59
"2020-04-10","Germany","Saxony-Anhalt",1121,46.0,51.0,18
"2020-04-10","Germany","Schleswig-Holstein",2029,97.0,70.0,38
"2020-04-10","Germany","Thuringia",1416,65.0,66.0,24
"2020-04-11","Germany","Baden-Württemberg",23617,1184.0,213.0,622
"2020-04-11","Germany","Bavaria",31453,1090.0,241.0,747
"2020-04-11","Germany","Berlin",4458,109.0,119.0,46
"2020-04-11","Germany","Brandenburg",1764,73.0,70.0,37
"2020-04-11","Germany","Bremen",469,15.0,69.0,15
"2020-04-11","Germany","Hamburg",3663,112.0,199.0,56
"2020-04-11","Germany","Hesse",5808,114.0,93.0,120
"2020-04-11","Germany","Mecklenburg-Western Pomerania",601,15.0,37.0,11
"2020-04-11","Germany","Lower Saxony",7343,229.0,92.0,171
"2020-04-11","Germany","North Rhine-Westphalia",23644,616.0,132.0,472
"2020-04-11","Germany","Rhineland-Palatinate",4622,182.0,113.0,59
"2020-04-11","Germany","Saarland",2016,162.0,204.0,41
"2020-04-11","Germany","Saxony",3565,163.0,87.0,65
"2020-04-11","Germany","Saxony-Anhalt",1135,14.0,51.0,18
"2020-04-11","Germany","Schleswig-Holstein",2065,36.0,71.0,39
"2020-04-11","Germany","Thuringia",1435,19.0,67.0,25
"2020-04-12","Germany","Baden-Württemberg",24078,461.0,218.0,649
"2020-04-12","Germany","Bavaria",32282,829.0,247.0,786
"2020-04-12","Germany","Berlin",4567,109.0,122.0,50
"2020-04-12","Germany","Brandenburg",1857,93.0,74.0,38
"2020-04-12","Germany","Bremen",480,11.0,70.0,15
