"Date","Country","Population","New confirmed cases","New deaths","Total confirmed cases","Total deaths"
"2020-01-05","Romania",19473936,0,0,0,0
"2020-01-05","Russia",144478050,0,0,0,0
"2020-01-05","San Marino",33785,0,0,0,0
"2020-01-05","Singapore",5638676,0,0,0,0
"2020-01-05","South Korea",51635256,0,0,0,0
"2020-01-05","Spain",46723749,0,0,0,0
"2020-01-05","Sri Lanka",21670000,0,0,0,0
"2020-01-05","Sweden",10183175,0,0,0,0
"2020-01-05","Switzerland",8516543,0,0,0,0
"2020-01-05","Taiwan",23780452,0,0,0,0
"2020-01-05","Thailand",69428524,0,0,0,0
"2020-01-05","United Arab Emirates",9630959,0,0,0,0
"2020-01-05","United Kingdom",66488991,0,0,0,0
"2020-01-05","United States of America",327167434,0,0,0,0
"2020-01-05","Vietnam",95540395,0,0,0,0
"2020-01-06","Afghanistan",37172386,0,0,0,0
"2020-01-06","Algeria",42228429,0,0,0,0
"2020-01-06","Armenia",2951776,0,0,0,0
"2020-01-06","Australia",24992369,0,0,0,0
"2020-01-06","Austria",8847037,0,0,0,0
"2020-01-06","Azerbaijan",9942334,0,0,0,0
"2020-01-06","Bahrain",1569439,0,0,0,0
"2020-01-06","Belarus",9485386,0,0,0,0
"2020-01-06","Belgium",11422068,0,0,0,0
"2020-01-06","Brazil",209469333,0,0,0,0
"2020-01-06","Cambodia",16249798,0,0,0,0
"2020-01-06","Canada",37058856,0,0,0,0
"2020-01-06","China",1392730000,0,0,59,0
"2020-01-06","Croatia",4089400,0,0,0,0
"2020-01-06","Czechia",0,0,0,0,0
"2020-01-06","Denmark",5797446,0,0,0,0
"2020-01-06","Diamond Princess",3711,0,0,0,0
"2020-01-06","Dominican Republic",10627165,0,0,0,0
"2020-01-06","Ecuador",17084357,0,0,0,0
"2020-01-06","Egypt",98423595,0,0,0,0
"2020-01-06","Estonia",1320884,0,0,0,0
"2020-01-06","Finland",5518050,0,0,0,0
"2020-01-06","France",66987244,0,0,0,0
"2020-01-06","Georgia",3731000,0,0,0,0
"2020-01-06","Germany",82927922,0,0,0,0
"2020-01-06","Greece",10727668,0,0,0,0
"2020-01-06","Iceland",353574,0,0,0,0
"2020-01-06","India",1352617328,0,0,0,0
"2020-01-06","Indonesia",267663435,0,0,0,0
"2020-01-06","Iran",81800269,0,0,0,0
"2020-01-06","Iraq",38433600,0,0,0,0
"2020-01-06","Ireland",4853506,0,0,0,0
"2020-01-06","Israel",8883800,0,0,0,0
"2020-01-06","Italy",60431283,0,0,0,0
"2020-01-06","Japan",126529100,0,0,0,0
"2020-01-06","Kuwait",4137309,0,0,0,0
"2020-01-06","Lebanon",6848925,0,0,0,0
"2020-01-06","Lithuania",2789533,0,0,0,0
"2020-01-06","Luxembourg",607728,0,0,0,0
"2020-01-06","Malaysia",31528585,0,0,0,0
"2020-01-06","Mexico",126190788,0,0,0,0
"2020-01-06","Monaco",38682,0,0,0,0
"2020-01-06","Nepal",28087871,0,0,0,0
"2020-01-06","Netherlands",17231017,0,0,0,0
"2020-01-06","New Zealand",4885500,0,0,0,0
"2020-01-06","Nigeria",195874740,0,0,0,0
"2020-01-06","North Macedonia",2082958,0,0,0,0
"2020-01-06","Norway",5314336,0,0,0,0
"2020-01-06","Oman",4829483,0,0,0,0
"2020-01-06","Pakistan",212215030,0,0,0,0
"2020-01-06","Philippines",106651922,0,0,0,0
"2020-01-06","Qatar",2781677,0,0,0,0
"2020-01-06","Romania",19473936,0,0,0,0
"2020-01-06","Russia",144478050,0,0,0,0
"2020-01-06","San Marino",33785,0,0,0,0
"2020-01-06","Singapore",5638676,0,0,0,0
"2020-01-06","South Korea",51635256,0,0,0,0
"2020-01-06","Spain",46723749,0,0,0,0
"2020-01-06","Sri Lanka",21670000,0,0,0,0
"2020-01-06","Sweden",10183175,0,0,0,0
"2020-01-06","Switzerland",8516543,0,0,0,0
"2020-01-06","Taiwan",23780452,0,0,0,0
"2020-01-06","Thailand",69428524,0,0,0,0
"2020-01-06","United Arab Emirates",9630959,0,0,0,0
"2020-01-06","United Kingdom",66488991,0,0,0,0
"2020-01-06","United States of America",327167434,0,0,0,0
"2020-01-06","Vietnam",95540395,0,0,0,0
"2020-01-07","Afghanistan",37172386,0,0,0,0
"2020-01-07","Algeria",42228429,0,0,0,0
"2020-01-07","Armenia",2951776,0,0,0,0
"2020-01-07","Australia",24992369,0,0,0,0
"2020-01-07","Austria",8847037,0,0,0,0
"2020-01-07","Azerbaijan",9942334,0,0,0,0
"2020-01-07","Bahrain",1569439,0,0,0,0
"2020-01-07","Belarus",9485386,0,0,0,0
"2020-01-07","Belgium",11422068,0,0,0,0
"2020-01-07","Brazil",209469333,0,0,0,0
"2020-01-07","Cambodia",16249798,0,0,0,0
"2020-01-07","Canada",37058856,0,0,0,0
"2020-01-07","China",1392730000,0,0,59,0
"2020-01-07","Croatia",4089400,0,0,0,0
"2020-01-07","Czechia",0,0,0,0,0
"2020-01-07","Denmark",5797446,0,0,0,0
"2020-01-07","Diamond Princess",3711,0,0,0,0
"2020-01-07","Dominican Republic",10627165,0,0,0,0
"2020-01-07","Ecuador",17084357,0,0,0,0
"2020-01-07","Egypt",98423595,0,0,0,0
"2020-01-07","Estonia",1320884,0,0,0,0
"2020-01-07","Finland",5518050,0,0,0,0
"2020-01-07","France",66987244,0,0,0,0
"2020-01-07","Georgia",3731000,0,0,0,0
"2020-01-07","Germany",82927922,0,0,0,0
"2020-01-07","Greece",10727668,0,0,0,0
"2020-01-07","Iceland",353574,0,0,0,0
"2020-01-07","India",1352617328,0,0,0,0
"2020-01-07","Indonesia",267663435,0,0,0,0
"2020-01-07","Iran",81800269,0,0,0,0
"2020-01-07","Iraq",38433600,0,0,0,0
"2020-01-07","Ireland",4853506,0,0,0,0
"2020-01-07","Israel",8883800,0,0,0,0
"2020-01-07","Italy",60431283,0,0,0,0
"2020-01-07","Japan",126529100,0,0,0,0
"2020-01-07","Kuwait",4137309,0,0,0,0
"2020-01-07","Lebanon",6848925,0,0,0,0
"2020-01-07","Lithuania",2789533,0,0,0,0
"2020-01-07","Luxembourg",607728,0,0,0,0
"2020-01-07","Malaysia",31528585,0,0,0,0
"2020-01-07","Mexico",126190788,0,0,0,0
"2020-01-07","Monaco",38682,0,0,0,0
"2020-01-07","Nepal",28087871,0,0,0,0
"2020-01-07","Netherlands",17231017,0,0,0,0
"2020-01-07","New Zealand",4885500,0,0,0,0
"2020-01-07","Nigeria",195874740,0,0,0,0
"2020-01-07","North Macedonia",2082958,0,0,0,0
"2020-01-07","Norway",5314336,0,0,0,0
"2020-01-07","Oman",4829483,0,0,0,0
"2020-01-07","Pakistan",212215030,0,0,0,0
"2020-01-07","Philippines",106651922,0,0,0,0
"2020-01-07","Qatar",2781677,0,0,0,0
"2020-01-07","Romania",19473936,0,0,0,0
"2020-01-07","Russia",144478050,0,0,0,0
"2020-01-07","San Marino",33785,0,0,0,0
"2020-01-07","Singapore",5638676,0,0,0,0
"2020-01-07","South Korea",51635256,0,0,0,0
"2020-01-07","Spain",46723749,0,0,0,0
"2020-01-07","Sri Lanka",21670000,0,0,0,0
"2020-01-07","Sweden",10183175,0,0,0,0
"2020-01-07","Switzerland",8516543,0,0,0,0
"2020-01-07","Taiwan",23780452,0,0,0,0
"2020-01-07","Thailand",69428524,0,0,0,0
"2020-01-07","United Arab Emirates",9630959,0,0,0,0
"2020-01-07","United Kingdom",66488991,0,0,0,0
"2020-01-07","United States of America",327167434,0,0,0,0
"2020-01-07","Vietnam",95540395,0,0,0,0
"2020-01-08","Afghanistan",37172386,0,0,0,0
"2020-01-08","Algeria",42228429,0,0,0,0
"2020-01-08","Armenia",2951776,0,0,0,0
"2020-01-08","Australia",24992369,0,0,0,0
"2020-01-08","Austria",8847037,0,0,0,0
"2020-01-08","Azerbaijan",9942334,0,0,0,0
"2020-01-08","Bahrain",1569439,0,0,0,0
"2020-01-08","Belarus",9485386,0,0,0,0
"2020-01-08","Belgium",11422068,0,0,0,0
